state,window_date,window_days,winning_size,frequency,population_variance
ASSAM,2022-04-26,10,M,43,57285.860465116275
ASSAM,2022-04-27,10,M,42,69723.01133786852
ASSAM,2022-04-28,10,S,40,98920.2099999999
ASSAM,2022-04-29,10,S,44,104945.32799586776
ASSAM,2022-04-30,10,S,45,97559.74617283948
ASSAM,2022-05-01,10,S,49,94733.62598917121
ASSAM,2022-05-02,10,S,47,101575.71208691725
ASSAM,2022-05-03,10,S,39,108677.38198553579
ASSAM,2022-05-04,10,S,38,116302.24722991692
ASSAM,2022-05-05,10,M,35,86014.63673469384
ASSAM,2022-05-06,10,M,36,76101.00617283944
ASSAM,2022-05-07,10,M,37,58381.7720964207
ASSAM,2022-05-08,10,M,37,55166.61358655954
ASSAM,2022-05-09,10,M,36,63913.6875
ASSAM,2022-05-10,10,M,35,90623.77632653067
ASSAM,2022-05-11,10,M,32,75201.171875
ASSAM,2022-05-12,10,M,34,73109.35294117645
ASSAM,2022-05-13,10,M,32,102040.7958984375
ASSAM,2022-05-14,10,M,29,110284.66111771698
ASSAM,2022-05-15,10,M,25,149802.28159999993
ASSAM,2022-05-16,10,M,23,148054.48771266546
ASSAM,2022-05-17,10,S,24,101591.0555555555
ASSAM,2022-05-18,10,S,28,91154.6734693877
ASSAM,2022-05-19,10,S,32,83792.24609375
ASSAM,2022-05-20,10,S,32,86088.6083984375
ASSAM,2022-05-21,10,S,30,77466.24888888886
ASSAM,2022-05-22,10,S,26,74490.96597633138
ASSAM,2022-05-23,10,S,26,79098.39053254446
ASSAM,2022-05-24,10,L,25,76616.87360000005
ASSAM,2022-05-25,10,L,28,69432.36096938781
ASSAM,2022-05-26,10,L,29,71625.41973840666
ASSAM,2022-05-27,10,L,24,76462.13888888888
ASSAM,2022-05-28,10,L,23,74627.36862003792
ASSAM,2022-05-29,10,L,21,65757.48752834467
ASSAM,2022-05-30,10,M,21,120336.3174603174
ASSAM,2022-05-31,10,L,22,46646.59504132229
ASSAM,2022-06-01,10,L,22,39424.42355371907
ASSAM,2022-06-02,10,L,22,36836.13429752062
ASSAM,2022-06-03,10,L,29,55682.10939357907
ASSAM,2022-06-04,10,L,26,56981.25
ASSAM,2022-06-05,10,L,28,63303.95280612254
ASSAM,2022-06-06,10,L,29,69482.66587395949
ASSAM,2022-06-07,10,L,30,73028.44888888887
ASSAM,2022-06-08,10,L,36,78377.35416666669
ASSAM,2022-06-09,10,L,37,81294.07888970053
ASSAM,2022-06-10,10,L,35,88225.66857142851
ASSAM,2022-06-11,10,L,32,95782.421875
ASSAM,2022-06-12,10,L,32,106511.5380859375
ASSAM,2022-06-13,10,M,29,100284.53269916773
ASSAM,2022-06-14,10,M,31,96033.10926118633
ASSAM,2022-06-15,10,S,29,102991.70511296077
ASSAM,2022-06-16,10,M,32,107711.55859375
ASSAM,2022-06-17,10,M,32,97570.125
ASSAM,2022-06-18,10,M,32,114527.2568359375
ASSAM,2022-06-19,10,M,31,115118.7325702394
ASSAM,2022-06-20,10,M,33,120165.32966023881
ASSAM,2022-06-21,10,M,33,98294.7272727273
ASSAM,2022-06-22,10,M,36,79926.9652777777
ASSAM,2022-06-23,10,M,35,85119.30122448987
ASSAM,2022-06-24,10,M,32,87262.83984375
ASSAM,2022-06-25,10,M,33,69370.81542699714
ASSAM,2022-06-26,10,M,31,65840.16024973989
ASSAM,2022-06-27,10,M,33,58035.015610652044
ASSAM,2022-06-28,10,M,31,65309.62539021851
ASSAM,2022-06-29,10,M,32,67186.4912109375
ASSAM,2022-06-30,10,M,27,61149.802469135844
ASSAM,2022-07-01,10,M,25,65245.382399999944
ASSAM,2022-07-02,10,M,20,76960.93999999994
ASSAM,2022-07-03,10,M,17,49381.05190311425
ASSAM,2022-07-04,10,M,15,55198.06222222216
ASSAM,2022-07-05,10,M,12,65204.472222222306
ASSAM,2022-07-06,10,M,10,73387.76000000007
ASSAM,2022-07-07,10,S,6,18010.472222222248
ASSAM,2022-07-08,10,XL,2,1369.0
ASSAM,2022-07-09,10,S,1,0.0
BIHAR,2022-04-01,10,M,3,13334.222222222365
BIHAR,2022-04-02,10,M,9,26547.061728395056
BIHAR,2022-04-03,10,M,12,26200.805555555562
BIHAR,2022-04-04,10,M,20,64792.3600000001
BIHAR,2022-04-05,10,M,26,58613.2485207101
BIHAR,2022-04-06,10,M,31,55636.38293444336
BIHAR,2022-04-07,10,M,39,54527.5305719921
BIHAR,2022-04-08,10,M,45,60751.59209876548
BIHAR,2022-04-09,10,M,51,56043.21876201464
BIHAR,2022-04-10,10,M,55,61566.96198347112
BIHAR,2022-04-11,10,M,57,64445.61772853194
BIHAR,2022-04-12,10,M,56,111521.7397959184
BIHAR,2022-04-13,10,M,58,114887.31302021403
BIHAR,2022-04-14,10,M,53,111503.12210751144
BIHAR,2022-04-15,10,M,54,109982.70233196154
BIHAR,2022-04-16,10,M,58,106380.79310344823
BIHAR,2022-04-17,10,M,55,105592.052892562
BIHAR,2022-04-18,10,M,54,99447.59945130319
BIHAR,2022-04-19,10,M,60,96226.14750000002
BIHAR,2022-04-20,10,M,60,91922.94888888887
BIHAR,2022-04-21,10,M,63,88976.92567397322
BIHAR,2022-04-22,10,M,65,49680.47479289939
BIHAR,2022-04-23,10,M,66,48907.5521120294
BIHAR,2022-04-24,10,M,66,48231.61363636365
BIHAR,2022-04-25,10,M,63,52054.34215167549
BIHAR,2022-04-26,10,M,59,51190.669922436064
BIHAR,2022-04-27,10,M,62,54980.36108220607
BIHAR,2022-04-28,10,M,59,60897.11117494968
BIHAR,2022-04-29,10,M,49,64310.168263223604
BIHAR,2022-04-30,10,M,52,75915.59763313603
BIHAR,2022-05-01,10,M,54,69344.59259259258
BIHAR,2022-05-02,10,M,49,78442.27072053304
